구분,용어,개념
141,신청인(채무자),채무를 변제할 의무가 있거나 채권추심자로부터 채무를 변제할 의무가 있는 것으로 주장되는 자연인으로 보증인을 포함
142,신청인(탈퇴),회원이 이용계약을 종료시키고 회원 등록을 취소하는 행위를 말한다.
143,신청인(피이의신청인),법적 절차에서 이의 신청의 대상이 되는 사람 또는 법적 결정을 저항하거나 이의를 제기받는 주체를 의미
144,신청인들대리인,법적 절차에서 신청인을 대신하여 행동하는 사람
145,신청인들변호인,신청인을 법적으로 대리하고 조언을 제공하는 변호사
146,신청인들보조참가인,주된 신청인과 함께 소송이나 행정 절차에 참여하는 보조적인 역할을 수행하는 사람을 의미
147,신청인들소송대리인,신청인을 대신하여 법적 소송 절차를 진행하는 사람
148,신청인피상고인,특정 사건에서 상고의 대상이 되는 신청인
149,신청인피항고인,항고 절차에서 피항고의 대상이 되는 신청인
150,신청인항고인,법원의 결정이나 처분에 불복하여 항고를 제기하는 신청인
151,심판참가인1,항고를 통해 상급 법원에 심판을 요청하는 당사자
152,심판참가인2,기존의 심판 절차에 참가하여 자신이 관련된 이익을 보호하거나 주장하는 제3자
153,심판청구인1,특정한 법적 문제나 상황에 대해 법원이나 행정기관에 심판을 청구하는 당사자
154,심판청구인2,법원이나 행정기관에 특정 사건에 대한 심판을 청구하는 사람
155,심판피청구인,심판 절차에서 심판을 청구한 사람에 대해 방어하는 당사자
156,어업권자,"일정 구역에서 물고기, 해산물 등을 잡거나 양식할 수 있는 권리인 어업권을 소유하거나 보유한 개인이나 단체"
157,예비적 원고,"주된 원고 청구가 실패할 경우에 대비하여, 보조적으로 제기하는 청구"
158,예비적 피고,"주된 피고가 특정 사유로 법원에서 불리한 판결을 받을 경우를 대비하여, 추가적으로 소송에 참여하는 피고"
159,우,해당 사건의 주체 또는 특정 역할을 맡고 있는 사람
160,우 보조참가인,주된 당사자를 지원하는 역할
161,우 소송수행자,주된 당사자를 대신하여 소송을 수행하는 역할
162,원고,법원에 소송을 제기한 당사자
163,원고(중간확인원고),"소송 절차에서 중간 확인을 요청하는 원고로 주로 민사소송에서 사용되며, 중간 확인은 법원이 사건의 진행 중 특정 사실이나 상황을 확인하기 위해 요청하는 절차"
164,원고(중간확인피고),"소송에서 중간 확인을 요청받는 피고로, 주로 민사소송에서 사용되며, 중간 확인은 법원이 사건의 진행 중 특정 사실이나 상황을 확인하기 위해 요청하는 절차임"
165,원고(탈퇴),소송 절차에서 원고가 소송을 포기하거나 철회하는 경우
166,원고겸망소송피수계인의소송수계인,사망한 원고의 소송을 승계하여 소송에 참여하는 사람
167,원고승계참가인,민사 소송에서 특정한 경우에 원고의 지위를 승계하여 소송에 참가하는 제3자
168,위헌법률심판제청인,법원에서 사건을 심리하다가 특정 법률의 위헌성을 판단하기 위해 헌법재판소에 심판을 요청하는 사람
169,위헌심판제청신청인,헌법재판소에 특정 법률의 위헌성을 판단해 달라고 요청하는 주체
170,유언집행자,"①유언자가 직접 지정하거나 유언자의 위탁을 받아 제3자가 지정한 유언집행자, ②지정된 유언집행자가 없는 경우에 상속인이 당연히 취임하게 되는 유언집행자, ③유언집행자가 없거나 사망, 결격 기타의 사유로 유언집행자가 없게 된 경우에 가정법원이 선임"
171,유치권자,"특정한 권리를 보유한 사람으로, 채무자의 물건을 점유하면서 그 물건에 대한 권리를 주장하는 당사자"
172,의견진술검사,사건에 관하여 의견을 진술하고 심문에 참여하는 검사
173,이의신청인,법원이나 행정기관의 결정에 대해 이의를 제기하는 당사자
174,이해관계인1,"특정 사건이나 문제에 대해 직접적인 이해관계를 가지며, 그 사건의 결과가 자신의 권리, 이익 또는 법적 지위에 영향을 미칠 수 있는 개인이나 집단"
175,이해관계인2,"분할대상 공유토지등기부에 소유권의 권리를 등기한 자로 압류, 가압류, 가처분의 권리자는 제외"
176,인수신청인,특정 권리나 의무를 인수받기 위해 법원이나 관련 기관에 신청하는 사람
177,인수참가,원고의 청구에 대해 직접적으로 방어하기 위해 제3자가 소송에 참여하는 것
178,인수참가인,법적 절차에서 기존의 권리나 의무를 인수하기 위해 소송에 참가하는 사람
179,인수참가피고,원고의 주장에 대한 방어를 위해 소송에 참여하는 제3자
180,일부탈퇴,특정 계약이나 소송에서 일부 권리나 의무를 철회하는 행위
181,임용권자,"특정 직무나 직위에 대해 채용, 해임, 인사 조치를 취할 수 있는 법적 권한을 가진 자"
182,재반소원고,법적 절차에서 반소에 대해 다시 제기된 반소의 원고
183,재반소피고,반소에 대한 반소를 방어하는 사람 (반소원고=피고)
184,재심,확정된 종국판결에 재심사유에 해당하는 중대한 하자가 있는 경우 그 판결의 취소와 이미 종결되었던 사건의 재심판을 구하는 비상의 불복신청방법
185,재심원고,재심 절차에서 소송을 제기하는 당사자
186,재심원고보조참가인,재심 절차에서 재심원고를 지원하기 위해 법원에 참가 신청을 한 제3자
187,재심청구인,행정심판을 청구한 사람
188,재심판,재심절차를 통해 법원이 내리는 판결
189,재심피고,재심원고의 재심 청구에 대한 상대방
190,재항고,"최초의 항고에 대한 항고심의 결정과 고등법원의 결정·명령, 항소법원의 결정·명령에 대하여 대법원에 하는 불복신청"
191,재항고인,형사소송에서 사용되는 용어로 상급 법원에 하급 법원의 결정이나 판결에 대해 다시 심리를 요청하는 재항고를 제기한 당사자
192,재항고인(경락인),경매시의 매수인
193,재항고인(부대재항고인),주된 재항고와 함께 추가적으로 제기되는 재항고를 제기한 당사자
194,재항고인(소유자),"선박,산림, 토지 등의 어떤 것을 가지고 있는자"
195,재항고인(수계신청인),특정한 권리나 의무의 승계를 통해 그 권리를 주장하는 당사자
196,재항고허가신청인,재항고를 제기하기 위해 법원에 허가를 요청하는 당사자
197,재항소,2심인 항소심 판결에 불복하여 3심인 대법원에 사건을 다시 판단해달라고 요청하는 절차
198,재항소인,항소심 판결에 불복하여 재항소를 제기하는 당사자
199,제1독립당사자참가인,"소송목적의 전부나 일부가 자기의 권리라고 주장하거나, 소송결과에 따라 권리가 침해된다고 주장하는 제3자는 당사자의 양쪽 또는 한쪽을 상대방으로 하여 당사자로서 소송에 참가하는 자"
200,제3자,"어떤 법률관계에 있어서 직접 참여하는 자를 당사자라고 하는데, 당사자 이외의 자를 제3자라고 함"
201,제3자소송참가인,"소송의 결과에 따라 권리 또는 이익의 침해를 받을 제3자가 있는 경우, 당사자 또는 제3자의 신청 또는 직권에 의하여 결정으로써 소송에 참가하는 자"
202,제3참가인,소송에 참여하는 당사자 중 세 번째로 참가하는 사람
203,제3채무자,특정 채권자와 채무자 관계에서 채무자에게 금전의 지급의무를 지닌 또 다른 채무자를
204,제3취득자,제3자변제의 특수한 예로 저당부동산의 제3취득자가 하는 변제제도
205,제상고인,"상고를 제기한 사람으로, 상고 절차를 통해 자신의 주장이나 권리를 다시 한 번 법원에 요청(제기)하는 사람"
206,제외신고를한구성원,구성원이 증권관련집단소송에 관한 판결 등의 기판력(旣判力)을 받지 아니하겠다는 의사를 법원에 신고하는 것
207,종참가,소송 절차에서 제3자가 기존 소송에 참가하는 방식
208,주위적 청구,원고가 피고를 상대로 제기한 여러 가지 청구 중 가장 기본적이고 주된 청구
209,주위적원고,주된 원고와 함께 소송에 참여하여 자신도 주장을 제기하는 원고
210,주위적피고,주된 피고와 함께 소송에 참여하여 추가적으로 피소된 당사자
211,주재심신청인,"이미 재심이 이루어진 사건에 대해, 새로운 사유나 증거를 바탕으로 다시 재심을 신청하는 당사자"
212,준재심,"이미 종결된 사건에 대해 특정한 사유가 발생했을 때, 해당 사건에 대한 재심을 요청하는 절차"
213,준재심신청상대방,준재심을 통해 기존 판결을 변경하거나 취소하려는 신청인의 요구에 대응하여 법정에서 방어하는 사람
214,준재심신청인,"준재심을 신청하는 당사자로, 기존 판결에 대해 새로운 증거가 발견되거나 법령의 적용에 오류가 있을 경우 재심을 요청하는 사람"
215,준재심원고,준재심 절차에서 원고로서의 지위를 갖는 당사자
216,준재심피고,준재심 절차에서 피고로서의 지위를 갖는 당사자
217,준재심피신청인,준재심을 제기한 신청인에 대응하는 상대방으로 기존 판결이 유지되기를 바라는 쪽의 당사자
218,준항고,"주로 하급 법원의 결정이나 명령에 대해 불복하여 상급 법원에 이의를 제기하는 절차로, 일반적인 항소보다 절차가 간단한 경우에 해당"
219,중간확인원고,"중간확인의 소는, 재판이 소송 진행 중에 쟁점이 된 법률관계의 성립 여부에 매인 때 당사자가 따로 그 법률관계의 확인을 구하는 소의 원고"
220,즉시항고,"집행정지의 효력을 인정하여 원재판에 불복한 자의 이익을 확보함과 동시에, 다른 한편으로는 제기기간을 극히 단기간으로 제한함으로써 부당하게 장기간 집행이 정지되는 것을 방지함"
221,즉시항고인,항고의 일종인 즉시항고를 제기한 사람으로 제기기간 3일로 한정되어 이 기간 내에 불복신청을 제기할 것을 요함
222,지정해난관계인,해난구조와 관련된 사건에 대해 특별히 지정된 관계인
223,집행취소신청인,"법률, 명령, 재판 따위에 따른 행위의 전부나 일부의 효력을 잃게 하는 의사 표시인 집행취소를 신청한 자"
224,참가승계인,소송이 진행되고 있는 도중에 소송의 목적인 권리나 의무를 이어받은 승계인이 독립적인 당사자로서 소송에 참가하는 자
225,참가신청인,소송결과에 이해관계가 있는 제3자는 한 쪽 당사자를 돕기 위하여 법원에 계속중인 소송에 참가 신청자
226,참가원고,"주된 소송의 당사자와 함께 소송에 참여하는 제3자로, 주된 사건과 관련된 자신의 권리나 이익을 주장할 수 있는 법적 지위를 가짐"
227,참가인,다른 사람들 사이의 소송에 제3자가 당사자 또는 이와 비슷한 소송관계인으로 참여하는 것을 의미
228,참가인(유언집행자),유언의 내용을 실현시키기 위한 직무권한을 가진 자
229,참가피고,"기존 피고 외에 추가로 참가한 피고로 주로 다자 간 소송에서 사용되며, 특정한 법적 사유로 인해 원래 소송의 피고 외에 추가 소송에 참가하는 새로운 피고를 의미함"
230,참가행정청,주된 사건에서 행정적 이해관계가 있는 경우 법적 소송 또는 행정 절차에서 주된 사건에 참여하여 자신의 입장을 밝히거나 권리를 주장하는 행정기관
231,채권신고인,"채권자가 자신의 채권을 법원에 신고하는 사람으로 주로 파산, 회생, 또는 채무 불이행 등 상황에서 채권자가 자신의 권리를 주장하기 위해 관련된 법적 절차에 참여"
232,채권자1,"채권을 가진 사람 또는 단체로, 채무자에게 일정한 권리를 주장할 수 있는 자"
233,채권자2,재단 및 중앙회가 신용보증을 한 채무의 채권자
234,채권자(탈퇴),채권자가 소송 또는 절차에서 자신의 지위를 포기하거나 철회하는 경우
235,채무승계인,기존의 채무를 승계받아 그 채무를 이행할 의무가 있는 사람
