판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
226579,약정금,2019나2012228,2020.10.15,서울고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226579&type=HTML&mobileYn=
215437,성매매알선등행위의처벌에관한법률위반(성매매알선등)ㆍ출입국관리법위반,2020도960,2020.10.15,대법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=215437&type=HTML&mobileYn=
227863,부당징계구제재심판정취소,2019두40345,2020.10.15,대법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=227863&type=HTML&mobileYn=
213131,배당이의및청구이의및채무부존재확인,2017다228441,2020.10.15,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=213131&type=HTML&mobileYn=
238675,현역병입영처분취소,2020누10759,2020.10.14,수원고등법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=238675&type=HTML&mobileYn=
214513,손해배상(의),2018나58457,2020.10.14,서울중앙지방법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214513&type=HTML&mobileYn=
221881,손해배상(기),2019나14550,2020.10.08,수원고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=221881&type=HTML&mobileYn=
220061,소유권이전등기절차 이행·매매대금,2020나15696,2020.10.08,수원고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=220061&type=HTML&mobileYn=
221797,소송비용액확정,2020라20242,2020.10.08,서울고등법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=221797&type=HTML&mobileYn=
226569,이혼 및 위자료,2020르5976,2020.10.08,대구가정법원,가사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226569&type=HTML&mobileYn=
230455,개인정보보호법위반,2020고정111,2020.10.06,창원지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=230455&type=HTML&mobileYn=
230345,개인정보보호법위반,2020고정111,2020.10.06,창원지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=230345&type=HTML&mobileYn=
226565,건축허가신청반려처분취소,2019누12288,2020.09.25,광주고등법원,일반행정,/DRF/lawService.do?OC=wanja1996&target=prec&ID=226565&type=HTML&mobileYn=
214453,개인회생,2020그731,2020.09.25,대법원,민사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=214453&type=HTML&mobileYn=
217515,식품위생법위반,2019노1693,2020.09.25,의정부지방법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=217515&type=HTML&mobileYn=
220063,양도소득세부과처분취소,2019누48068,2020.09.25,서울고등법원,세무,/DRF/lawService.do?OC=wanja1996&target=prec&ID=220063&type=HTML&mobileYn=
234467,정치자금법위반,2018노2389,2020.09.25,서울고등법원,형사,/DRF/lawService.do?OC=wanja1996&target=prec&ID=234467&type=HTML&mobileYn=
