판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,판례상세링크
200309,손해배상(자),93다52372,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200309&type=HTML&mobileYn=
200315,퇴직금,93다9316,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200315&type=HTML&mobileYn=
110073,구상금,94다200,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110073&type=HTML&mobileYn=
200303,영업정지처분취소,94누651,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200303&type=HTML&mobileYn=
199807,유족급여등부지급처분취소,93누24186,1994.04.12,대법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=199807&type=HTML&mobileYn=
200314,소유권이전등기말소,93다52853,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200314&type=HTML&mobileYn=
110162,집행에관한이의,93마1933,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=110162&type=HTML&mobileYn=
189992,"대통령경호실법위반,직권남용,폭력행위등처벌에관한법률위반,업무방해",94도128,1994.04.12,대법원,형사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=189992&type=HTML&mobileYn=
228253,손해배상(기),92다49300,1994.04.12,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=228253&type=HTML&mobileYn=
145921,의약품제조업허가취소처분취소청구사건,93구14563,1994.04.08,서울고등법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145921&type=HTML&mobileYn=
151959,법인세등부과처분취소,93구669,1994.04.08,대전고등법원,세무,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=151959&type=HTML&mobileYn=
146132,징계처분취소구제재심판정취소,92구27432,1994.04.08,서울고등법원,일반행정,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=146132&type=HTML&mobileYn=
145995,배당이의청구사건,93가합11481,1994.04.07,서울지방법원북부지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145995&type=HTML&mobileYn=
223083,해고무효확인청구사건,93가합9130,1994.04.07,서울지방법원동부지원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=223083&type=HTML&mobileYn=
222959,손해배상(기)청구사건,93나6722,1994.04.06,서울고등법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=222959&type=HTML&mobileYn=
145853,전부금청구사건,93가합82934,1994.04.01,서울민사지방법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=145853&type=HTML&mobileYn=
222935,손해배상(자)청구사건,93나7128,1994.04.01,광주고등법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=222935&type=HTML&mobileYn=
200320,임시주주총회소집허가,93마1916,1994.03.28,대법원,민사,/DRF/lawService.do?OC=younwjdtjr&target=prec&ID=200320&type=HTML&mobileYn=
